
Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:36:45 2021
Timers Off: Fri Nov  5 10:37:22 2021

Wall Time:       36.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DIISManager::add_entry            :      0.133u      0.000s      0.006w     19 calls
| DIISManager::extrapolate          :      0.300u      0.017s      0.017w     19 calls
| | bMatrix setup                   :      0.150u      0.000s      0.007w     19 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w     19 calls
| | New vector                      :      0.133u      0.017s      0.007w     19 calls
HF: Form C                          :      2.567u      0.267s      0.082w     19 calls

**************************************************************************************

Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:40:13 2021
Timers Off: Fri Nov  5 10:40:40 2021

Wall Time:       26.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.567u      0.033s      0.033w      1 calls
DFH: sparsity prep                  :      0.467u      0.017s      0.284w      1 calls
Libint2ERI::Libint2ERI              :      3.600u      0.133s      0.357w     14 calls
DFH: initialize()                   :     15.083u      1.233s      0.725w      1 calls
DFH: AO Construction                :      1.667u      0.067s      0.088w      1 calls
DFH: AO-Met. Contraction            :      2.183u      0.200s      0.076w      1 calls
HF: Form core H                     :      1.267u      0.083s      0.067w      1 calls
HF: Form S/X                        :      0.633u      0.350s      0.025w      1 calls
HF: Guess                           :      5.383u      0.750s      0.267w      1 calls
SAD Guess                           :      5.267u      0.750s      0.262w      1 calls
HF: Form G                          :    220.717u     40.300s     14.812w     20 calls
UV: Form V                          :    203.700u     38.217s     14.083w     20 calls
Properties                          :     95.433u     20.717s      6.218w  11880 calls
Functional                          :     14.917u      2.317s      1.712w  11880 calls
V_xc                                :     86.250u     13.700s      5.809w  11880 calls
JK: D                               :      0.067u      0.050s      0.004w     20 calls
JK: USO2AO                          :      0.933u      0.083s      0.032w     20 calls
JK: JK                              :     13.733u      1.517s      0.603w     20 calls
DFH: compute_JK()                   :     13.733u      1.517s      0.603w     20 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     20 calls
DFH: compute_J                      :      8.200u      0.867s      0.294w     20 calls
JK: AO2USO                          :      0.667u      0.133s      0.022w     20 calls
HF: Form F                          :      0.050u      0.017s      0.002w     20 calls
HF: Form D                          :      0.083u      0.033s      0.003w     20 calls
HF: DIIS                            :      1.717u      0.367s      0.072w     19 calls
DIISManager::add_entry              :      0.167u      0.033s      0.007w     19 calls
DIISManager::extrapolate            :      0.500u      0.017s      0.023w     19 calls
bMatrix setup                       :      0.217u      0.017s      0.010w     19 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w     19 calls
New vector                          :      0.250u      0.000s      0.010w     19 calls
HF: Form C                          :      3.983u      0.717s      0.139w     19 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.567u      0.033s      0.033w      1 calls
DFH: sparsity prep                  :      0.467u      0.017s      0.284w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.017s      0.183w      1 calls
DFH: initialize()                   :     15.083u      1.233s      0.725w      1 calls
| Libint2ERI::Libint2ERI            :      3.317u      0.117s      0.173w     13 calls
| DFH: AO Construction              :      1.667u      0.067s      0.088w      1 calls
| DFH: AO-Met. Contraction          :      2.183u      0.200s      0.076w      1 calls
HF: Form core H                     :      1.267u      0.083s      0.067w      1 calls
HF: Form S/X                        :      0.633u      0.350s      0.025w      1 calls
HF: Guess                           :      5.383u      0.750s      0.267w      1 calls
| SAD Guess                         :      5.267u      0.750s      0.262w      1 calls
HF: Form G                          :    220.717u     40.300s     14.812w     20 calls
| UV: Form V                        :    203.700u     38.217s     14.083w     20 calls
| | Properties                      :     95.433u     20.717s      6.218w  11880 calls
| | Functional                      :     14.917u      2.317s      1.712w  11880 calls
| | V_xc                            :     86.250u     13.700s      5.809w  11880 calls
| JK: D                             :      0.067u      0.050s      0.004w     20 calls
| JK: USO2AO                        :      0.933u      0.083s      0.032w     20 calls
| JK: JK                            :     13.733u      1.517s      0.603w     20 calls
| | DFH: compute_JK()               :     13.733u      1.517s      0.603w     20 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     20 calls
| | | DFH: compute_J                :      8.200u      0.867s      0.294w     20 calls
| JK: AO2USO                        :      0.667u      0.133s      0.022w     20 calls
HF: Form F                          :      0.050u      0.017s      0.002w     20 calls
HF: Form D                          :      0.083u      0.033s      0.003w     20 calls
HF: DIIS                            :      1.717u      0.367s      0.072w     19 calls
| DIISManager::add_entry            :      0.167u      0.033s      0.007w     19 calls
| DIISManager::extrapolate          :      0.500u      0.017s      0.023w     19 calls
| | bMatrix setup                   :      0.217u      0.017s      0.010w     19 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w     19 calls
| | New vector                      :      0.250u      0.000s      0.010w     19 calls
HF: Form C                          :      3.983u      0.717s      0.139w     19 calls

**************************************************************************************

Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:41:38 2021
Timers Off: Fri Nov  5 10:42:15 2021

Wall Time:       37.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.500u      0.067s      0.083w      1 calls
DFH: sparsity prep                  :      0.917u      0.017s      0.560w      1 calls
Libint2ERI::Libint2ERI              :      4.483u      0.100s      0.716w     14 calls
DFH: initialize()                   :     35.100u      2.350s      1.710w      1 calls
DFH: AO Construction                :      7.817u      0.233s      0.404w      1 calls
DFH: AO-Met. Contraction            :     13.717u      0.883s      0.471w      1 calls
HF: Form core H                     :      1.633u      0.083s      0.085w      1 calls
HF: Form S/X                        :      0.433u      0.033s      0.014w      1 calls
HF: Guess                           :      6.983u      0.683s      0.324w      1 calls
SAD Guess                           :      6.867u      0.650s      0.319w      1 calls
HF: Form G                          :    943.367u     73.267s     27.796w    101 calls
RV: Form V                          :    748.200u     56.133s     19.567w    101 calls
Properties                          :     86.068p                         140390 calls
Functional                          :     20.985p                         140390 calls
V_xc                                :    121.486p                         140390 calls
JK: D                               :      0.767u      0.150s      0.028w    101 calls
JK: USO2AO                          :      5.517u      0.733s      0.201w    101 calls
JK: JK                              :    179.317u     14.650s      7.657w    101 calls
DFH: compute_JK()                   :    179.283u     14.650s      7.655w    101 calls
DFH: Grabbing AOs                   :      0.033u      0.000s      0.001w    101 calls
DFH: compute_J                      :     79.733u      3.300s      2.102w    101 calls
JK: AO2USO                          :      3.533u      0.367s      0.102w    101 calls
HF: Form F                          :      0.467u      0.067s      0.023w    101 calls
HF: Form D                          :      0.533u      0.050s      0.022w    101 calls
HF: DIIS                            :     16.333u      1.750s      0.802w    100 calls
DIISManager::add_entry              :      1.550u      0.183s      0.079w    100 calls
DIISManager::extrapolate            :      8.650u      0.883s      0.477w    100 calls
bMatrix setup                       :      5.083u      0.450s      0.284w    100 calls
bMatrix pseudoinverse               :      0.200u      0.017s      0.009w    100 calls
New vector                          :      3.267u      0.367s      0.180w    100 calls
